variable type,variable name,HLCA core,HLCA full,explanation,,,,,
,,,,,,,,,
"1. obs variables, ontology based:",,,,,,,,,
,assay,x,x,Single cell assay used,,,,,
,cell_type,x,x,"Cell type; harmonized based on Cell Ontology (CL). Note that more detailed (non-ontology-based) cell type names are available under ""ann_finest_level"", and hierarchical annotations can be found ""ann_level_[1-5]"" ",,,,,
,development_stage,x,x,"Age, harmonized/encoded based on HsapDv ontology. Slightly higher resolution, non-ontology-based ages are available under ""age_or_mean_of_age_range""",,,,,
,disease,x,x,"Disease, harmonized based on Mondo ontology. Slighly higher resolution, non-ontology-based disease categories can be found under lung_condition",,,,,
,donor_id,x,x,"Donor-id, formatted as ""homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747[DONORID]"" for the core, and  ""homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747[DONORID]"" for the full HLCA",,,,,
,is_primary_data,x,x,Indicates if the cells are part of an earlier dataset on cellxgene,,,,,
,self_reported_ethnicity,x,x,"Ethnicity, harmonized based on HANCESTRO ontology",,,,,
,sex,x,x,"Sex, self-reported or as reported by physician",,,,,
,suspension_type,x,x,Whether cells or nuclei were used for sequencing,,,,,
,tissue,x,x,"Anatomical region sequenced, harmonized based on UBERON/CL",,,,,
,,,,,,,,,
"2. obs variables, categorical",,,,,,,,,
,3'_or_5',x,x,Whether 3' or 5' sequencing was performed,,,,,
,age_range,x,x,Age range for donor for which no specific age was given but only a range,,,,,
,ann_coarse_for_GWAS_and_modeling,x,x,"For cells from the HLCA core: Final annotations by the HLCA expert team, at the level that was used for GWAS and covariate modeling analysis (see paper for more info). These are often not the finest levels of annotation available.",,,,,
,ann_finest_level,x,x,"For cells from the HLCA core: Final annotations by the HLCA expert team, shown at the finest level of detail available for every cell. For cells not in the core (i.e. added during HLCA extesnion, only present in the full HLCA): finest labels as transferred from the core to the extension by label transfer. Cell labels with a label transfer uncertainty higher than 0.2 are set to unknown.",,,,,
,ann_level_[1-5],x,x,"For cells from the HLCA core: Final annotations by the HLCA expert team, broken down into levels (1 coarsest, 5 finest). Where annotations do not go up to level 5, levels without annotations are set to None. For cells not in the core (i.e. added during HLCA extesnion, only present in the full HLCA): labels of the given annotation level as transferred from the core to the extension by label transfer. Cell labels with a label transfer uncertainty higher than 0.2 are set to unknown.",,,,,
,cause_of_death,x,x,Cause of death,,,,,
